log_id,employee_id,base,crew_type,month,total_duty_hrs,monthly_hour_cap,utilization_pct,n_pairings_flown,rest_violations,max_consecutive_days,redye_pairing_pct,fatigue_risk_score,called_out
90001,10001,ORD,First Officer,2024-01,54.7,100,54.7,8,0,6,0.5,22.3,True
90002,10001,ORD,First Officer,2024-02,82.2,100,82.2,17,0,6,15.0,45.9,False
90003,10001,ORD,First Officer,2024-03,84.2,100,84.2,14,0,4,22.0,42.3,True
90004,10001,ORD,First Officer,2024-04,82.5,100,82.5,14,0,6,8.4,44.6,False
90005,10001,ORD,First Officer,2024-05,97.5,100,97.5,19,0,6,16.5,52.5,True
90006,10001,ORD,First Officer,2024-06,54.6,100,54.6,13,0,6,23.8,31.4,True
90007,10002,ORD,Captain,2024-01,50.3,100,50.3,8,0,3,3.3,24.6,False
90008,10002,ORD,Captain,2024-02,67.9,100,67.9,12,0,6,3.0,41.1,False
90009,10002,ORD,Captain,2024-03,80.6,100,80.6,13,0,5,3.4,40.8,True
90010,10002,ORD,Captain,2024-04,79.9,100,79.9,16,0,5,24.2,42.0,True
90011,10002,ORD,Captain,2024-05,72.2,100,72.2,18,0,5,10.0,37.0,True
90012,10002,ORD,Captain,2024-06,75.0,100,75.0,17,0,6,20.0,53.0,False
90013,10003,ORD,First Officer,2024-01,63.5,100,63.5,13,0,6,5.0,35.1,True
90014,10003,ORD,First Officer,2024-02,38.1,100,38.1,10,0,6,5.2,17.7,False
90015,10003,ORD,First Officer,2024-03,36.4,100,36.4,9,0,6,0.6,13.8,False
90016,10003,ORD,First Officer,2024-04,44.6,100,44.6,12,0,3,21.7,25.3,True
90017,10003,ORD,First Officer,2024-05,71.4,100,71.4,19,0,6,4.0,41.9,False
90018,10003,ORD,First Officer,2024-06,72.0,100,72.0,13,0,4,12.1,37.8,False
90019,10004,ORD,Flight Attendant,2024-01,73.9,90,82.1,20,0,5,23.8,50.8,False
90020,10004,ORD,Flight Attendant,2024-02,48.3,90,53.7,11,0,6,4.0,27.5,False
90021,10004,ORD,Flight Attendant,2024-03,89.5,90,99.4,14,2,5,7.1,80.8,False
90022,10004,ORD,Flight Attendant,2024-04,94.5,90,105.0,23,0,6,10.9,59.1,False
90023,10004,ORD,Flight Attendant,2024-05,35.3,90,39.2,10,0,7,4.5,23.0,False
90024,10004,ORD,Flight Attendant,2024-06,94.5,90,105.0,23,2,7,1.4,78.8,False
90025,10006,ORD,Senior FA,2024-01,94.5,90,105.0,15,1,5,23.4,69.3,True
90026,10006,ORD,Senior FA,2024-02,77.3,90,85.9,19,2,6,3.1,67.9,False
90027,10006,ORD,Senior FA,2024-03,86.0,90,95.6,19,1,7,18.7,59.5,True
90028,10006,ORD,Senior FA,2024-04,94.5,90,105.0,17,2,6,10.9,78.1,True
90029,10006,ORD,Senior FA,2024-05,94.5,90,105.0,21,1,4,23.8,69.2,False
90030,10006,ORD,Senior FA,2024-06,85.7,90,95.2,16,0,4,0.7,47.2,False
90031,10007,ORD,First Officer,2024-01,51.6,100,51.6,12,0,4,13.5,26.3,True
90032,10007,ORD,First Officer,2024-02,59.0,100,59.0,15,0,6,3.7,30.7,True
90033,10007,ORD,First Officer,2024-03,71.4,100,71.4,12,0,6,18.3,38.6,False
90034,10007,ORD,First Officer,2024-04,84.9,100,84.9,13,0,5,22.2,44.2,False
90035,10007,ORD,First Officer,2024-05,105.0,100,105.0,19,2,3,2.4,76.2,True
90036,10007,ORD,First Officer,2024-06,105.0,100,105.0,19,2,6,16.5,84.5,False
90037,10008,ORD,First Officer,2024-01,54.5,100,54.5,15,0,6,7.7,26.8,False
90038,10008,ORD,First Officer,2024-02,34.9,100,34.9,8,0,6,13.9,21.4,False
90039,10008,ORD,First Officer,2024-03,84.1,100,84.1,13,0,6,15.3,43.4,False
90040,10008,ORD,First Officer,2024-04,56.9,100,56.9,9,0,3,11.4,29.4,False
90041,10008,ORD,First Officer,2024-05,33.2,100,33.2,9,0,3,10.3,22.9,False
90042,10008,ORD,First Officer,2024-06,79.1,100,79.1,15,0,3,7.0,42.1,False
90043,10009,ORD,First Officer,2024-01,72.4,100,72.4,15,0,5,5.5,39.6,True
90044,10009,ORD,First Officer,2024-02,82.8,100,82.8,12,0,4,8.8,47.6,False
90045,10009,ORD,First Officer,2024-03,105.0,100,105.0,19,0,3,8.9,50.1,False
90046,10009,ORD,First Officer,2024-04,44.0,100,44.0,11,0,6,0.9,21.9,True
90047,10009,ORD,First Officer,2024-05,89.9,100,89.9,19,2,4,13.2,76.9,False
90048,10009,ORD,First Officer,2024-06,105.0,100,105.0,17,2,3,8.8,77.1,False
90049,10010,ORD,Flight Attendant,2024-01,94.5,90,105.0,18,0,4,4.5,57.2,True
90050,10010,ORD,Flight Attendant,2024-02,60.0,90,66.7,11,0,4,19.3,37.7,True
90051,10010,ORD,Flight Attendant,2024-03,94.5,90,105.0,18,2,4,24.4,86.5,False
90052,10010,ORD,Flight Attendant,2024-04,94.5,90,105.0,15,2,7,12.0,79.3,False
90053,10010,ORD,Flight Attendant,2024-05,68.5,90,76.1,12,0,6,20.7,42.2,False
90054,10010,ORD,Flight Attendant,2024-06,61.4,90,68.2,10,0,4,20.7,40.9,True
90055,10011,ORD,Flight Attendant,2024-01,62.4,90,69.3,16,0,5,4.4,36.0,False
90056,10011,ORD,Flight Attendant,2024-02,39.9,90,44.3,11,0,7,21.5,33.8,False
90057,10011,ORD,Flight Attendant,2024-03,94.5,90,105.0,21,0,4,4.3,54.3,True
90058,10011,ORD,Flight Attendant,2024-04,81.1,90,90.1,17,2,6,15.4,74.3,False
90059,10011,ORD,Flight Attendant,2024-05,94.5,90,105.0,21,2,4,15.3,82.0,True
90060,10011,ORD,Flight Attendant,2024-06,94.5,90,105.0,16,0,5,3.4,54.5,False
90061,10012,ORD,Flight Attendant,2024-01,90.8,90,100.9,15,0,4,23.5,53.7,True
90062,10012,ORD,Flight Attendant,2024-02,94.5,90,105.0,21,1,7,7.5,71.6,False
90063,10012,ORD,Flight Attendant,2024-03,70.3,90,78.1,16,0,6,16.0,36.7,False
90064,10012,ORD,Flight Attendant,2024-04,57.9,90,64.3,12,0,4,1.7,33.8,False
90065,10012,ORD,Flight Attendant,2024-05,65.9,90,73.2,14,0,5,15.3,44.3,False
90066,10012,ORD,Flight Attendant,2024-06,40.6,90,45.1,11,0,6,1.2,18.3,False
90067,10013,ORD,First Officer,2024-01,67.4,100,67.4,12,0,6,15.3,40.9,False
90068,10013,ORD,First Officer,2024-02,99.1,100,99.1,15,0,6,11.4,51.7,False
90069,10013,ORD,First Officer,2024-03,67.3,100,67.3,15,0,3,4.9,36.8,False
90070,10013,ORD,First Officer,2024-04,74.6,100,74.6,14,0,5,18.2,39.8,True
90071,10013,ORD,First Officer,2024-05,75.2,100,75.2,19,0,6,24.1,44.7,False
90072,10013,ORD,First Officer,2024-06,105.0,100,105.0,17,2,3,13.9,78.2,False
90073,10014,ORD,First Officer,2024-01,31.9,100,31.9,8,0,4,6.5,20.0,False
90074,10014,ORD,First Officer,2024-02,85.9,100,85.9,15,2,6,11.8,69.1,False
90075,10014,ORD,First Officer,2024-03,76.8,100,76.8,16,0,3,22.4,47.5,False
90076,10014,ORD,First Officer,2024-04,47.6,100,47.6,8,0,4,11.0,28.0,False
90077,10014,ORD,First Officer,2024-05,71.3,100,71.3,11,0,6,21.2,46.3,False
90078,10014,ORD,First Officer,2024-06,105.0,100,105.0,17,0,6,1.4,57.5,False
90079,10015,ORD,First Officer,2024-01,31.6,100,31.6,8,0,4,11.9,18.0,False
90080,10015,ORD,First Officer,2024-02,67.4,100,67.4,17,0,6,8.8,32.4,False
90081,10015,ORD,First Officer,2024-03,105.0,100,105.0,19,0,6,16.0,58.3,False
90082,10015,ORD,First Officer,2024-04,93.5,100,93.5,18,0,3,5.4,45.7,True
90083,10015,ORD,First Officer,2024-05,76.5,100,76.5,15,0,6,7.2,36.3,True
90084,10015,ORD,First Officer,2024-06,45.1,100,45.1,12,0,6,22.5,27.1,False
90085,10016,ORD,Captain,2024-01,46.2,100,46.2,12,0,4,18.4,26.7,False
90086,10016,ORD,Captain,2024-02,55.7,100,55.7,8,0,3,10.1,30.8,False
90087,10016,ORD,Captain,2024-03,50.2,100,50.2,9,0,3,4.0,26.3,False
90088,10016,ORD,Captain,2024-04,96.6,100,96.6,17,0,4,14.2,54.0,False
90089,10016,ORD,Captain,2024-05,61.0,100,61.0,14,0,5,16.2,39.4,False
90090,10016,ORD,Captain,2024-06,86.8,100,86.8,18,1,5,0.8,51.0,False
90091,10020,ORD,Senior FA,2024-01,93.1,90,103.4,15,0,7,4.9,47.6,False
90092,10020,ORD,Senior FA,2024-02,94.5,90,105.0,18,0,7,15.4,59.3,True
90093,10020,ORD,Senior FA,2024-03,47.1,90,52.3,13,0,5,5.8,28.4,False
90094,10020,ORD,Senior FA,2024-04,86.3,90,95.9,14,1,6,6.4,60.6,True
90095,10020,ORD,Senior FA,2024-05,58.1,90,64.6,13,0,6,24.3,39.4,False
90096,10020,ORD,Senior FA,2024-06,94.5,90,105.0,15,1,7,1.5,66.3,True
90097,10021,ORD,Flight Attendant,2024-01,73.7,90,81.9,19,0,5,8.6,42.8,False
90098,10021,ORD,Flight Attendant,2024-02,75.4,90,83.8,16,0,7,23.8,50.4,False
90099,10021,ORD,Flight Attendant,2024-03,84.8,90,94.2,22,0,5,22.8,56.6,False
90100,10021,ORD,Flight Attendant,2024-04,76.4,90,84.9,12,0,4,19.4,46.4,True
90101,10021,ORD,Flight Attendant,2024-05,71.4,90,79.3,17,0,6,18.0,41.8,True
90102,10021,ORD,Flight Attendant,2024-06,94.5,90,105.0,18,2,5,15.6,83.9,True
90103,10022,ORD,Senior FA,2024-01,92.8,90,103.1,16,0,4,5.4,55.2,False
90104,10022,ORD,Senior FA,2024-02,94.5,90,105.0,23,0,4,16.2,51.9,True
90105,10022,ORD,Senior FA,2024-03,49.7,90,55.2,14,0,6,4.2,28.8,True
90106,10022,ORD,Senior FA,2024-04,52.9,90,58.8,12,0,4,19.1,30.0,False
90107,10022,ORD,Senior FA,2024-05,50.1,90,55.7,14,0,7,19.8,32.9,False
90108,10022,ORD,Senior FA,2024-06,94.5,90,105.0,19,2,7,20.1,79.9,False
90109,10024,ORD,First Officer,2024-01,41.2,100,41.2,11,0,5,6.4,20.2,False
90110,10024,ORD,First Officer,2024-02,59.5,100,59.5,9,0,5,4.0,32.8,False
90111,10024,ORD,First Officer,2024-03,82.4,100,82.4,19,0,5,19.4,50.5,False
90112,10024,ORD,First Officer,2024-04,71.7,100,71.7,17,0,3,11.2,42.3,True
90113,10024,ORD,First Officer,2024-05,60.1,100,60.1,14,0,6,3.5,27.0,True
90114,10024,ORD,First Officer,2024-06,52.6,100,52.6,10,0,3,1.2,22.7,False
90115,10026,ORD,Flight Attendant,2024-01,94.5,90,105.0,22,2,7,9.5,75.5,False
90116,10026,ORD,Flight Attendant,2024-02,60.1,90,66.8,13,0,5,10.0,39.7,False
90117,10026,ORD,Flight Attendant,2024-03,51.4,90,57.1,13,0,7,20.1,32.8,False
90118,10026,ORD,Flight Attendant,2024-04,94.5,90,105.0,19,2,6,5.7,79.9,False
90119,10026,ORD,Flight Attendant,2024-05,84.3,90,93.7,14,2,7,8.5,75.6,False
90120,10026,ORD,Flight Attendant,2024-06,55.7,90,61.9,12,0,5,15.8,32.5,True
90121,10027,ORD,Flight Attendant,2024-01,78.0,90,86.7,17,0,6,22.6,47.4,True
90122,10027,ORD,Flight Attendant,2024-02,73.9,90,82.1,11,0,4,10.4,46.4,True
