pairing_id,departure_date,departure_time,arrival_time,origin,destination,aircraft_type,flight_duration_hrs,pairing_type,pilots_required,fas_required,assigned_pilot_id,assigned_fa_id,is_deadhead,base
50001,2024-06-17,2024-06-17 11:30,2024-06-17 16:18,ORD,DTW,A320,4.8,Turn,2,2,10087,10080,False,ORD
50002,2024-02-18,2024-02-18 12:30,2024-02-18 17:05,DFW,ELP,B787,4.59,Multi-day,2,4,10281,10258,True,DFW
50003,2024-06-09,2024-06-09 10:00,2024-06-09 15:01,ORD,PIT,B787,5.02,Turn,2,4,10007,10117,False,ORD
50004,2024-02-28,2024-02-28 10:15,2024-02-28 13:32,ORD,CLE,B737,3.3,Turn,2,2,10033,10051,True,ORD
50005,2024-02-25,2024-02-25 16:00,2024-02-25 17:24,DFW,LBB,B757,1.41,Multi-day,2,3,10320,10349,False,DFW
50006,2024-04-27,2024-04-27 08:30,2024-04-27 11:44,ORD,CMH,B737,3.25,Multi-day,2,2,10007,10057,False,ORD
50007,2024-04-29,2024-04-29 15:15,2024-04-29 16:35,JFK,DCA,B767,1.35,Multi-day,2,4,10486,10493,False,JFK
50008,2024-03-12,2024-03-12 15:00,2024-03-12 20:01,LAX,SJC,B737,5.02,Turn,2,2,10398,10384,False,LAX
50009,2024-02-18,2024-02-18 07:30,2024-02-18 12:45,JFK,BDL,B737,5.26,Overnight,2,2,10444,10471,False,JFK
50010,2024-05-21,2024-05-21 06:30,2024-05-21 08:31,JFK,DCA,A320,2.02,Turn,2,2,10457,10497,False,JFK
50011,2024-04-15,2024-04-15 05:00,2024-04-15 06:47,JFK,SYR,B737,1.8,Red-eye,2,2,10480,10441,False,JFK
50012,2024-05-06,2024-05-06 06:15,2024-05-06 09:30,ATL,MSY,B767,3.25,Overnight,2,4,10128,10186,False,ATL
50013,2024-04-13,2024-04-13 07:30,2024-04-13 10:33,ORD,IND,B737,3.06,Red-eye,2,2,10087,10101,True,ORD
50014,2024-01-31,2024-01-31 13:30,2024-01-31 14:33,DFW,HOU,B737,1.06,Turn,2,2,10302,10271,False,DFW
50015,2024-05-21,2024-05-21 11:00,2024-05-21 15:49,DFW,ABQ,A321,4.82,Turn,2,3,10313,10332,False,DFW
50016,2024-06-30,2024-06-30 06:30,2024-06-30 08:24,DFW,AUS,B787,1.91,Overnight,2,4,10277,10265,False,DFW
50017,2024-03-21,2024-03-21 05:00,2024-03-21 10:21,ATL,TPA,B737,5.37,Overnight,2,2,10201,10135,False,ATL
50018,2024-06-09,2024-06-09 07:00,2024-06-09 11:49,JFK,DCA,B767,4.83,Turn,2,4,10498,10453,False,JFK
50019,2024-05-31,2024-05-31 10:30,2024-05-31 15:01,ATL,TPA,A320,4.52,Overnight,2,2,10230,10231,False,ATL
